	number	user_login	created_at	closed_at	merged_at	title
52	478	AdamDang	2018-05-09 14:55:38	2018-05-14 16:50:46		Typo fix: implmentation->implementation
53	477	soltysh	2018-05-09 13:53:41	2018-05-09 14:55:59	2018-05-09 14:55:59	Add myself to owners
54	474	monopole	2018-05-08 19:26:14	2018-05-08 19:26:22	2018-05-08 19:26:22	updateFig2
55	473	monopole	2018-05-08 19:20:48	2018-05-08 19:20:55	2018-05-08 19:20:55	updateFigs
56	472	monopole	2018-05-08 19:10:27	2018-05-08 19:10:41	2018-05-08 19:10:41	reorderGloss
57	471	monopole	2018-05-08 18:42:04	2018-05-08 18:46:21	2018-05-08 18:46:21	Replace term 'instance' with 'variant'.
58	470	monopole	2018-05-08 17:35:07	2018-05-08 17:40:56	2018-05-08 17:40:56	add apache license file for kustomize
59	469	AdamDang	2018-05-08 16:00:28	2018-05-11 20:31:43	2018-05-11 20:31:43	Typo fix: cluser->cluster
60	467	Liujingfang1	2018-05-04 17:58:42	2018-05-04 18:07:53	2018-05-04 18:07:53	Add ldap demo
61	466	Liujingfang1	2018-05-04 16:32:43	2018-05-04 18:08:52	2018-05-04 18:08:51	change test script to use ldap from the new location
62	464	Liujingfang1	2018-05-03 20:27:41	2018-05-04 01:38:51	2018-05-04 01:38:51	Add ldap example to demo data
63	463	AdamDang	2018-05-03 14:38:38	2018-05-03 18:11:52	2018-05-03 18:11:52	Typo fix: defintion->definition
64	462	AdamDang	2018-05-02 11:30:02	2018-05-02 23:08:51	2018-05-02 23:08:51	Typo fix in the returned info.
65	460	monopole	2018-05-01 22:44:36	2018-05-03 18:10:57	2018-05-03 18:10:57	drop unused pngs
66	459	monopole	2018-05-01 22:03:54	2018-05-01 22:10:08	2018-05-01 22:10:07	Modify mysql and springboot demo to download their data from the code…
67	458	monopole	2018-05-01 20:57:11	2018-05-01 20:57:19	2018-05-01 20:57:19	capture springboot demo data
68	457	monopole	2018-05-01 18:50:09	2018-05-01 20:02:18	2018-05-01 20:02:18	add configGeneration to README in demos dir
69	456	monopole	2018-05-01 18:05:20	2018-05-01 18:12:18	2018-05-01 18:12:18	fix glitch in hello world
70	455	monopole	2018-04-30 23:00:25	2018-04-30 23:27:15	2018-04-30 23:27:15	pull helloWorld demo data into code repo
71	453	monopole	2018-04-27 22:28:24	2018-04-30 22:45:16	2018-04-30 22:45:16	configmapgenerator example
72	452	AdamDang	2018-04-27 15:29:53	2018-04-30 20:39:31	2018-04-30 20:39:31	Typo fix: resourse->resource
73	451	richardmarshall	2018-04-27 14:28:54	2018-04-30 23:32:18	2018-04-30 23:32:18	Add subcommand for adding patches to the kustomization file
74	448	monopole	2018-04-24 20:06:48	2018-04-24 21:44:30	2018-04-24 21:44:30	add a tested breakfast configuration demo
75	447	AdamDang	2018-04-23 14:39:49	2018-04-30 20:41:18	2018-04-30 20:41:18	Typo fix in glossary.md
76	446	monopole	2018-04-17 20:49:48	2018-04-17 20:50:18	2018-04-17 20:50:18	new figs
77	445	monopole	2018-04-17 18:20:29	2018-04-17 18:26:17	2018-04-17 18:26:17	kustomize.yaml becomes kustomization.yaml
78	443	monopole	2018-04-16 21:01:54	2018-04-16 21:02:02	2018-04-16 21:02:02	updated figs
79	442	monopole	2018-04-16 20:44:32	2018-04-16 20:50:35	2018-04-16 20:50:35	Update figs
80	441	monopole	2018-04-13 20:37:06	2018-04-13 20:42:55	2018-04-13 20:42:55	Some kustomization field renaming.
81	440	monopole	2018-04-13 18:22:02	2018-04-17 16:31:59	2018-04-17 16:31:59	Example kustomize.yaml
82	439	monopole	2018-04-13 17:08:48	2018-04-13 18:00:01	2018-04-13 18:00:00	Drop the init command
83	438	monopole	2018-04-12 23:44:11	2018-04-13 03:43:59	2018-04-13 03:43:59	manifest becomes kustomization
84	437	monopole	2018-04-12 00:23:50	2018-04-12 02:51:55	2018-04-12 02:51:55	Drop k8s metadata fields from kustomize.yaml struct
85	435	mengqiy	2018-04-11 22:21:55	2018-04-13 00:15:59	2018-04-13 00:15:59	Update vendor and related hash func
86	434	droot	2018-04-11 22:20:03	2018-04-11 22:23:55	2018-04-11 22:23:55	kustomize: automate github release publishing
87	433	monopole	2018-04-11 21:00:17	2018-04-11 21:38:56	2018-04-11 21:38:56	Remove init and manifest from demos
88	428	droot	2018-04-11 18:13:12	2018-04-11 18:25:56	2018-04-11 18:25:56	change kinflate to kustomize
89	424	Liujingfang1	2018-04-10 22:29:23	2018-04-11 19:50:50		change kinflate to kustomize
90	423	monopole	2018-04-10 21:29:23	2018-04-11 00:00:46	2018-04-11 00:00:46	Test config map names
91	420	Liujingfang1	2018-04-10 18:37:03	2018-04-10 19:07:11	2018-04-10 19:07:11	change Kube-manifest.yaml to kustomize.yaml
92	419	mengqiy	2018-04-10 18:18:44	2018-04-10 22:42:55	2018-04-10 22:42:55	swtich to depend on the scheme in client-go
93	416	monopole	2018-04-09 18:54:36	2018-04-10 16:53:02	2018-04-10 16:53:02	structure for manifest documentation
94	414	monopole	2018-04-06 22:55:27	2018-04-06 23:27:08	2018-04-06 23:27:08	Command organization - build and edit
95	413	monopole	2018-04-06 22:03:02	2018-04-06 22:20:10	2018-04-06 22:20:10	README for demos
96	412	monopole	2018-04-06 19:59:12	2018-04-06 20:07:30	2018-04-06 20:07:30	add tree output to demo
97	411	monopole	2018-04-06 18:04:50	2018-04-06 18:18:36	2018-04-06 18:18:36	onePageHelloWorld
98	410	monopole	2018-04-06 17:34:04	2018-04-06 17:37:12	2018-04-06 17:37:12	newreadme
99	409	mengqiy	2018-04-06 17:05:00	2018-04-06 17:45:09	2018-04-06 17:45:09	update vendor apimachinery
