	number	user_login	created_at	closed_at	merged_at	title	user_company	user_mail	user_orgs
0	number	user_login	created_at	closed_at	merged_at	title	user_company	user_mail	user_orgs
41	559	pwittrock	2018-11-12 04:39:40	2018-11-12 19:57:07	2018-11-12 19:57:07	Kubectl Book	Google		google,kubernetes
42	179	pwittrock	2017-12-14 19:34:10	2018-05-07 02:49:04		ktl proposal	Google		google,kubernetes
43	106	pwittrock	2017-10-25 23:27:47	2017-10-26 22:50:33	2017-10-26 22:50:33	Create issue_backlog.md	Google		google,kubernetes
44	85	pwittrock	2017-10-18 19:46:17	2017-10-18 19:46:26	2017-10-18 19:46:26	Add items to Maintainers tasks	Google		google,kubernetes
45	82	pwittrock	2017-10-18 16:56:26	2017-10-18 19:22:13	2017-10-18 19:22:13	Write guide for maintainers sustaining engineering tasks.	Google		google,kubernetes
46	13	pwittrock	2017-05-18 17:07:49	2017-05-18 17:39:37	2017-05-18 17:39:37	Add issue template for kubectl repo	Google		google,kubernetes
47	1	pwittrock	2017-03-30 20:27:45	2017-03-30 20:53:29	2017-03-30 20:53:29	Initial repo boilerplate	Google		google,kubernetes
48	648	abhi-396	2019-04-26 11:10:10	2019-04-26 12:21:19		My Kubernets pul.			
49	645	anmoel	2019-04-18 09:39:00	2019-04-22 16:09:46	2019-04-22 16:09:46	fix typo in JSON Path Symbols Table	@datadrivers 		
50	643	abhishekjiitr	2019-04-15 21:16:11	2019-04-22 16:07:46	2019-04-22 16:07:45	Fix Invalid DNS ConfigMap Name	@tower-research	@gmail.com	fossasia,OpenGenus
51	640	soltysh	2019-04-11 18:43:57	2019-04-11 19:36:46	2019-04-11 19:36:46	Update lodash to address CVE-2018-16487	Red Hat, Inc		openshift
52	611	soltysh	2019-03-14 22:03:11	2019-03-14 22:17:32	2019-03-14 22:17:32	Various fixes	Red Hat, Inc		openshift
53	477	soltysh	2018-05-09 13:53:41	2018-05-09 14:55:59	2018-05-09 14:55:59	Add myself to owners	Red Hat, Inc		openshift
54	636	mikeraimondi	2019-04-01 15:20:52	2019-04-02 15:08:37	2019-04-02 15:08:37	fix typo		@mikeraimondi.com	
55	635	chrisz100	2019-03-28 11:43:25	2019-03-28 15:52:45	2019-03-28 15:52:45	replaced Conainer with Container	@level25de 		froscon,kubernetes,SAFEWRD,level25de
56	633	chrisz100	2019-03-28 10:53:35	2019-03-28 15:50:47	2019-03-28 15:50:47	Fixed a typo in field merge semantics	@level25de 		froscon,kubernetes,SAFEWRD,level25de
57	634	Rio	2019-03-28 10:56:16	2019-04-22 17:17:46	2019-04-22 17:17:46	feat(docs): add section on environment style configmap/secret generation	The Ambassadors LAB		
58	630	Rio	2019-03-28 09:40:36	2019-03-28 15:48:47	2019-03-28 15:48:47	fix(docs): Fix typo and command reference	The Ambassadors LAB		
59	626	BenHall	2019-03-26 10:28:19	2019-04-22 16:05:45	2019-04-22 16:05:45	Dockerfile for GitBook	Ocelot Uproar	@BenHall.me.uk	Meerkatalyst,maydayhq,OcelotUproar,katacoda,katacoda-scenarios
60	624	jonas	2019-03-26 03:32:20	2019-03-29 16:06:13	2019-03-29 16:06:13	Remove cp examples from the port-forward page	@ElementAI 		sbt,akka,scala-native,ElementAI
61	607	Liujingfang1	2019-03-12 20:55:53	2019-03-12 21:54:40	2019-03-12 21:54:40	add google analytics to kubectl book	Google	@google.com	google,GoogleCloudPlatform
62	606	Liujingfang1	2019-03-12 18:24:36	2019-03-12 20:30:07		a test pr for showing kubectl book	Google	@google.com	google,GoogleCloudPlatform
63	604	Liujingfang1	2019-03-11 21:42:38	2019-03-12 16:08:39	2019-03-12 16:08:39	add gitbook-cli into kubectl book package.json	Google	@google.com	google,GoogleCloudPlatform
64	467	Liujingfang1	2018-05-04 17:58:42	2018-05-04 18:07:53	2018-05-04 18:07:53	Add ldap demo	Google	@google.com	google,GoogleCloudPlatform
65	466	Liujingfang1	2018-05-04 16:32:43	2018-05-04 18:08:52	2018-05-04 18:08:51	change test script to use ldap from the new location	Google	@google.com	google,GoogleCloudPlatform
66	464	Liujingfang1	2018-05-03 20:27:41	2018-05-04 01:38:51	2018-05-04 01:38:51	Add ldap example to demo data	Google	@google.com	google,GoogleCloudPlatform
67	424	Liujingfang1	2018-04-10 22:29:23	2018-04-11 19:50:50		change kinflate to kustomize	Google	@google.com	google,GoogleCloudPlatform
68	420	Liujingfang1	2018-04-10 18:37:03	2018-04-10 19:07:11	2018-04-10 19:07:11	change Kube-manifest.yaml to kustomize.yaml	Google	@google.com	google,GoogleCloudPlatform
69	406	Liujingfang1	2018-04-05 23:09:17	2018-04-06 22:00:09	2018-04-06 22:00:09	Add logging for replacing and merging configmap and secrets	Google	@google.com	google,GoogleCloudPlatform
70	405	Liujingfang1	2018-04-05 22:28:52	2018-04-09 22:25:10	2018-04-09 22:25:10	Add springboot example demo	Google	@google.com	google,GoogleCloudPlatform
71	394	Liujingfang1	2018-04-03 23:19:08	2018-04-04 22:21:10	2018-04-04 22:21:10	change ConfigMap to ConfigMapGenerator	Google	@google.com	google,GoogleCloudPlatform
72	393	Liujingfang1	2018-04-03 22:58:32	2018-04-03 23:32:07	2018-04-03 23:32:07	Add different behavior for secretGenerator in overlay	Google	@google.com	google,GoogleCloudPlatform
73	373	Liujingfang1	2018-03-23 21:17:40	2018-04-03 22:38:08	2018-04-03 22:38:08	Add different behavior for configmaps in overlay	Google	@google.com	google,GoogleCloudPlatform
74	367	Liujingfang1	2018-03-22 16:33:49	2018-03-26 23:14:02	2018-03-26 23:14:02	change packages to bases in Manifest	Google	@google.com	google,GoogleCloudPlatform
75	356	Liujingfang1	2018-03-16 22:06:35	2018-03-16 22:40:26	2018-03-16 22:40:26	Update directories in test script	Google	@google.com	google,GoogleCloudPlatform
76	355	Liujingfang1	2018-03-16 20:19:15	2018-03-16 20:26:25	2018-03-16 20:26:25	Update main.sh to exit non-zero when there is a failure	Google	@google.com	google,GoogleCloudPlatform
77	351	Liujingfang1	2018-03-12 22:49:39	2018-03-13 17:19:11	2018-03-13 17:19:11	Add testing script to invoke example testing	Google	@google.com	google,GoogleCloudPlatform
78	343	Liujingfang1	2018-03-07 17:05:54	2018-03-07 17:14:54	2018-03-07 17:14:54	Remove package tree	Google	@google.com	google,GoogleCloudPlatform
79	341	Liujingfang1	2018-03-06 22:33:06	2018-03-07 00:49:53	2018-03-07 00:49:53	Add util functions to read/write manifest file and update sub commands	Google	@google.com	google,GoogleCloudPlatform
80	334	Liujingfang1	2018-03-02 22:31:41	2018-03-05 21:32:51	2018-03-05 21:32:51	Update inflate/diff and corresponding tests	Google	@google.com	google,GoogleCloudPlatform
81	333	Liujingfang1	2018-03-02 20:56:58	2018-03-02 22:08:54	2018-03-02 22:08:54	Change inflate to use Application interface	Google	@google.com	google,GoogleCloudPlatform
82	329	Liujingfang1	2018-02-27 23:49:08	2018-02-28 00:03:47	2018-02-28 00:03:47	Add nameHashTransformer	Google	@google.com	google,GoogleCloudPlatform
83	324	Liujingfang1	2018-02-27 17:37:41	2018-03-01 17:00:37		Modify Encode function	Google	@google.com	google,GoogleCloudPlatform
